ID,GRIDCODE,ORIG_FID,Join_Count,TARGET_FID,FLD_ZONE,STATIC_BFE,ABFE_0_2Pc,Shape_Leng,Shape_Area
7758,1000,2301,0,0,,0,0,0,0
7762,2300,2302,0,0,,0,0,0,0
7765,1100,2303,0,0,,0,0,0,0
7767,2300,2304,0,0,,0,0,0,0
7773,1300,2305,0,0,,0,0,0,0
7777,1400,2306,0,0,,0,0,0,0
7785,1000,2307,0,0,,0,0,0,0
7789,1400,2308,0,0,,0,0,0,0
7791,1000,2309,0,0,,0,0,0,0
7792,1000,2310,0,0,,0,0,0,0
7794,1000,2311,0,0,,0,0,0,0
7802,1000,2312,0,0,,0,0,0,0
7803,1000,2313,0,0,,0,0,0,0
7806,1000,2314,0,0,,0,0,0,0
7809,1000,2315,0,0,,0,0,0,0
7816,900,2316,0,0,,0,0,0,0
7818,1100,2317,0,0,,0,0,0,0
7983,1200,2382,0,0,,0,0,0,0
7819,2300,2318,0,0,,0,0,0,0
7822,900,2319,0,0,,0,0,0,0
7826,1000,2320,0,0,,0,0,0,0
7830,1100,2321,0,0,,0,0,0,0
7831,2000,2322,0,0,,0,0,0,0
7833,1300,2323,0,0,,0,0,0,0
7838,900,2324,0,0,,0,0,0,0
7840,1000,2325,0,0,,0,0,0,0
7843,900,2326,0,0,,0,0,0,0
7848,1200,2327,0,0,,0,0,0,0
7851,900,2328,0,0,,0,0,0,0
7853,900,2329,0,0,,0,0,0,0
7855,1300,2330,0,0,,0,0,0,0
7859,900,2331,0,0,,0,0,0,0
7860,1200,2332,0,0,,0,0,0,0
7862,1000,2333,0,0,,0,0,0,0
7864,1000,2334,0,0,,0,0,0,0
7865,800,2335,0,0,,0,0,0,0
7867,900,2336,0,0,,0,0,0,0
7868,900,2337,0,0,,0,0,0,0
7870,1000,2338,0,0,,0,0,0,0
7877,1000,2339,0,0,,0,0,0,0
7878,1000,2340,0,0,,0,0,0,0
7978,1300,2380,0,0,,0,0,0,0
7880,1300,2341,0,0,,0,0,0,0
7881,1200,2342,0,0,,0,0,0,0
7882,1100,2343,0,0,,0,0,0,0
7886,900,2344,0,0,,0,0,0,0
7891,900,2345,0,0,,0,0,0,0
7892,1000,2346,0,0,,0,0,0,0
7895,900,2347,0,0,,0,0,0,0
7896,1200,2348,0,0,,0,0,0,0
7897,1100,2349,0,0,,0,0,0,0
7898,1300,2350,0,0,,0,0,0,0
7905,1100,2351,0,0,,0,0,0,0
7906,1300,2352,0,0,,0,0,0,0
7909,1000,2353,0,0,,0,0,0,0
7911,1200,2354,0,0,,0,0,0,0
7914,800,2355,0,0,,0,0,0,0
7915,1100,2356,0,0,,0,0,0,0
7916,1100,2357,0,0,,0,0,0,0
7917,1200,2358,0,0,,0,0,0,0
7918,1600,2359,0,0,,0,0,0,0
7922,1000,2360,0,0,,0,0,0,0
7926,800,2361,0,0,,0,0,0,0
7927,1000,2362,0,0,,0,0,0,0
7935,1200,2363,0,0,,0,0,0,0
7938,1100,2364,0,0,,0,0,0,0
7943,800,2365,0,0,,0,0,0,0
7944,1200,2366,0,0,,0,0,0,0
7947,1200,2367,0,0,,0,0,0,0
7953,1300,2368,0,0,,0,0,0,0
7954,900,2369,0,0,,0,0,0,0
7959,1100,2370,0,0,,0,0,0,0
7964,1000,2371,0,0,,0,0,0,0
7965,1000,2372,0,0,,0,0,0,0
7967,1200,2373,0,0,,0,0,0,0
7968,1200,2374,0,0,,0,0,0,0
7969,1100,2375,0,0,,0,0,0,0
7970,1000,2376,0,0,,0,0,0,0
7971,1000,2377,0,0,,0,0,0,0
